config;Fitness;Precision;Generalization;Simplicity
A(D0);0.646543072316458;0.35489195982372657;0.8749112877943928;1.0
A+(D0);0.3458043737641232;0.35914637532770644;0.8672288878642345;0.8064516129032256
HM(D0, 0.5);0.9568274312764963;0.7600512228035405;0.7884184078831641;0.5254237288135593
IM(D0, 0.5);1.0;0.404483774298092;0.9310414698009724;0.6470588235294118
HM(D0, 0.8);0.9568138319806357;0.7786564142718683;0.8309455681630804;0.5576923076923077
IM(D0, 0.8);1.0;0.404483774298092;0.9310414698009724;0.6470588235294118
A(D1);0.6469867680519433;0.47320542058199533;0.9915288834933949;1.0
A+(D1);0.07555448250292457;0.0;0.9915288834933949;1.0
HM(D1, 0.5);0.9529000394742083;0.8146683824227119;0.9291480798109807;0.5806451612903225
IM(D1, 0.5);1.0;0.5909311287722656;0.9705820757275643;0.6818181818181818
HM(D1, 0.8);0.9529000394742083;0.8146683824227119;0.9291480798109807;0.5806451612903225
IM(D1, 0.8);1.0;0.5909311287722656;0.9705820757275643;0.6818181818181818
A(D2);0.4864197889438487;0.5986503256576012;0.8851665511561027;0.8823529411764706
A+(D2);0.30850669342123016;0.28438116038632266;0.9013412695815938;1.0
HM(D2, 0.5);0.9993832760262518;0.9784518828451882;0.8066187884103891;0.5813953488372092
IM(D2, 0.5);1.0;0.5157648766697653;0.9207844597975242;0.6428571428571429
HM(D2, 0.8);0.9993765953301234;0.9847355315195856;0.8438247172658697;0.6000000000000001
IM(D2, 0.8);1.0;0.5157648766697653;0.9207844597975242;0.6428571428571429
A(D3);0.5781038437644356;0.5574555016753142;0.9801155421072647;1.0
A+(D3);0.24397942782237111;0.49759023789991796;0.980247081138841;1.0
HM(D3, 0.5);0.9994139669952468;0.9909667115835704;0.943469375264179;0.6153846153846154
IM(D3, 0.5);1.0;0.5780786203130368;0.9158421027827264;0.6595744680851063
HM(D3, 0.8);0.9994139669952468;0.9909667115835704;0.943469375264179;0.6153846153846154
IM(D3, 0.8);1.0;0.5780786203130368;0.9158421027827264;0.6595744680851063
